Data recieved from Arduino

Measurement number: 1
	Value1	Value2	Value3	Value4
0	0	0	0	0
100	0	0	0	0
200	0	0	0	0
300	0	0	0	0
400	0	0	0	0
500	0	0	0	0
600	0	0	0	0
700	0	0	0	0
800	0	0	0	0
900	0	0	0	0
1000	0	0	0	0
1100	0	0	0	0
1200	0	0	0	0
1300	0	0	0	0
1400	0	0	0	0
1500	0	0	0	0
1600	0	0	0	0
1700	0	0	0	0
1800	0	0	0	0
1900	0	0	0	0
2000	0	0	0	0
2100	0	0	0	0
2200	0	0	0	0
2300	0	0	0	0
2400	0	0	0	0
2500	0	0	0	0
2600	0	0	0	0
2700	0	0	0	0
2800	0	0	0	0
2900	0	0	0	0
3000	0	0	0	0
3100	0	0	0	0
3200	0	0	0	0
3300	0	0	0	0
3400	0	0	0	0
3500	0	0	0	0
3600	0	0	0	0
3700	0	0	0	0
3800	0	0	0	0
3900	0	0	0	0
4000	0	0	0	0
4100	0	0	0	0
4200	0	0	0	0
4300	0	0	0	0
4400	0	0	0	0
4500	0	0	0	0
4600	0	0	0	0
4700	0	0	0	0
4800	0	0	0	0
4900	0	0	0	0
5000	0	0	0	0
5100	0	0	0	0
5200	0	0	0	0
5300	0	0	0	0
5400	0	0	0	0
5500	0	0	0	0
5600	0	0	0	0
5700	0	0	0	0
5800	0	0	0	0
5900	0	0	0	0
6000	0	0	0	0
6100	0	0	0	0
6200	0	0	0	0
6300	0	0	0	0
6400	0	0	0	0
6500	0	0	0	0
6600	0	0	0	0
6700	0	0	0	0
6800	0	0	21	21
6900	0	0	36	36
7000	0	0	51	51
7100	0	0	66	66
7200	0	0	81	81
7300	0	0	96	96
7400	0	0	111	111
7500	0	0	126	126
7600	0	0	141	141
7700	0	0	156	156
7800	0	1	184	154
7900	0	1	199	170
8000	1	3	223	164
8100	4	6	227	170
8200	7	10	247	160
8300	11	14	250	165
8400	16	19	251	166
8500	22	24	237	181
8600	28	29	224	196
8700	33	36	254	165
8800	39	41	240	183
8900	45	47	240	182
9000	51	52	227	199
9100	57	58	227	198
9200	63	64	227	198
9300	68	71	255	168
9400	74	76	243	186
9500	80	81	230	201
9600	86	87	230	200
9700	92	93	230	200
9800	97	99	247	187
9900	103	104	233	204
10000	108	109	237	206
10100	114	115	236	205
10200	120	121	236	205
10300	126	127	236	205
10400	132	134	249	188
10500	138	140	249	189
10600	144	146	249	189
10700	150	152	249	189
10800	156	158	249	189
10900	163	165	245	185
11000	169	172	255	170
11100	176	178	242	184
11200	182	184	243	184
11300	189	190	226	197
11400	195	196	227	197
11500	201	202	227	197
11600	207	208	227	197
11700	213	214	227	197
11800	219	221	240	180
11900	225	227	240	181
12000	231	233	240	181
12100	237	239	240	181
12200	243	245	240	181
12300	250	251	223	194
12400	256	258	237	177
12500	262	264	237	178
12600	268	270	237	178
12700	274	276	237	178
12800	280	282	237	178
12900	286	288	237	178
13000	292	294	237	178
13100	298	300	237	178
13200	304	306	237	178
13300	310	311	224	195
13400	315	317	241	181
13500	321	322	227	198
13600	327	328	227	197
13700	332	334	244	184
13800	338	340	243	184
13900	344	346	243	184
14000	350	352	243	184
14100	356	358	243	184
14200	361	364	255	171
14300	368	369	229	201
14400	374	375	230	200
14500	379	381	247	187
14600	385	386	233	204
14700	391	392	233	203
14800	396	398	250	190
14900	402	404	249	190
15000	408	410	249	190
15100	414	416	249	190
15200	420	422	249	190
15300	427	428	232	203
15400	433	434	233	203
15500	439	440	233	203
15600	445	446	233	203
15700	451	452	233	203
15800	456	459	255	173
15900	463	465	245	187
16000	469	471	246	187
16100	475	477	246	187
16200	481	483	246	187
16300	488	489	246	187
16400	494	495	229	200
16500	500	502	239	183
16600	505	508	224	171
16700	511	514	206	171
16800	517	520	188	171
16900	522	525	173	164
17000	527	530	158	149
17100	532	536	143	131
17200	537	540	128	119
17300	540	545	119	104
17400	543	549	110	0
17500	546	552	101	0
17600	548	553	0	0
17700	548	555	0	0
17800	548	555	0	0
17900	548	555	0	0
18000	548	555	0	0
18100	548	555	0	0
18200	548	555	0	0
18300	548	555	0	0
18400	548	555	0	0
18500	548	555	0	0
18600	548	555	0	0
18700	548	555	0	0
18800	548	555	0	0
18900	548	555	0	0
19000	548	555	0	0
19100	548	555	0	0
19200	548	555	0	0
19300	548	555	0	0
19400	548	555	0	0
19500	548	555	0	0
19600	548	555	0	0
19700	548	555	0	0
19800	548	555	0	0
19900	548	555	0	0
20000	548	555	0	0
20100	548	555	0	0
20200	548	555	0	0
20300	548	555	0	0
20400	548	555	0	0
20500	548	555	0	0
20600	548	555	0	0
20700	548	555	0	0
20800	548	555	0	0
20900	548	555	0	0
21000	548	555	0	0
21100	548	555	0	0
21200	548	555	0	0
21300	548	555	0	0
21400	548	555	0	0
21500	548	555	0	0
21600	548	555	0	0
21700	548	555	0	0
21800	548	555	0	0
21900	548	555	0	0
22000	548	555	0	0
22100	548	555	0	0
22200	548	555	0	0
22300	548	555	0	0
22400	548	555	0	0
22500	548	555	0	0
22600	548	555	0	0
