Data recieved from Arduino

Measurement number: 1
	Value1	Value2	Value3	Value4	Value5	Value6	Value7
0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0
300	0	0	0	0	0	0	0
400	0	0	0	0	0	0	0
500	0	0	0	0	0	0	0
600	0	0	0	0	0	0	0
700	0	0	0	0	0	0	0
800	0	0	0	0	0	0	0
900	0	0	0	0	0	0	0
1000	0	0	0	0	0	0	0
1100	0	0	12	12	3	0	0
1200	0	0	27	27	5	0	0
1300	0	0	39	39	5	0	0
1400	0	0	51	51	5	0	0
1500	0	0	63	63	5	0	0
1600	0	0	75	75	5	0	0
1700	0	0	87	87	5	0	0
1800	0	0	99	99	5	0	0
1900	0	0	111	111	5	0	0
2000	0	0	123	123	5	0	0
2100	0	0	135	135	5	0	0
2200	0	0	147	147	5	0	0
2300	0	0	159	159	5	0	0
2400	0	0	171	171	5	0	0
2500	0	0	183	183	5	0	0
2600	0	0	195	195	5	0	0
2700	1	0	190	220	5	1	0
2800	2	1	199	229	5	1	1
2900	5	5	213	215	5	3	4
3000	9	9	214	217	5	4	4
3100	14	14	213	216	5	5	5
3200	18	19	230	203	5	4	5
3300	23	25	243	185	5	5	6
3400	29	31	241	181	5	6	6
3500	34	37	255	164	5	5	6
3600	41	42	226	188	5	7	5
3700	49	49	205	192	5	8	7
3800	54	55	222	178	5	5	6
3900	60	60	206	191	5	6	5
4000	65	65	207	191	5	5	5
4100	70	71	220	174	5	5	6
4200	75	75	208	191	5	5	4
4300	80	81	221	173	5	5	6
4400	87	86	188	199	5	7	5
4500	92	91	190	200	5	5	5
4600	97	96	189	201	5	5	5
4700	101	101	205	189	5	4	5
4800	106	106	204	189	5	5	5
4900	111	111	204	189	5	5	5
5000	117	117	200	185	5	6	6
5100	122	122	201	186	5	5	5
5200	127	127	201	186	5	5	5
5300	132	133	214	169	5	5	6
5400	137	138	215	169	5	5	5
5500	143	143	199	181	5	6	5
5600	148	149	213	164	5	5	6
5700	153	154	214	164	5	5	5
5800	159	159	198	176	5	6	5
5900	164	165	212	159	5	5	6
6000	169	170	213	159	5	5	5
6100	175	175	197	171	5	6	5
6200	180	181	211	154	5	5	6
6300	185	186	212	154	5	5	5
6400	191	191	196	166	5	6	5
6500	195	196	214	153	5	4	5
6600	201	201	197	165	5	6	5
6700	207	206	182	178	5	6	5
6800	211	211	199	166	5	4	5
6900	218	217	177	175	5	7	6
7000	223	222	179	177	5	5	5
7100	228	227	178	178	5	5	5
7200	232	232	194	166	5	4	5
7300	238	238	189	162	5	6	6
7400	243	242	177	180	5	5	4
7500	248	248	189	163	5	5	6
7600	254	254	185	161	5	6	6
7700	259	259	186	162	5	5	5
7800	264	264	186	162	5	5	5
7900	269	269	186	162	5	5	5
8000	273	273	190	166	5	4	4
8100	278	279	202	148	5	5	6
8200	283	284	203	148	5	5	5
8300	288	289	204	147	5	5	5
8400	293	293	192	163	5	5	4
8500	298	298	192	162	5	5	5
8600	303	303	192	162	5	5	5
8700	307	307	196	166	5	4	4
8800	312	312	195	165	5	5	5
8900	317	317	195	165	5	5	5
9000	321	321	199	169	5	4	4
9100	327	327	194	164	5	6	6
9200	331	331	199	169	5	4	4
9300	336	336	198	168	5	5	5
9400	341	341	198	168	5	5	5
9500	345	345	202	172	5	4	4
9600	350	351	224	148	5	5	5
9700	355	355	202	170	5	5	5
9800	360	360	202	170	5	5	5
9900	365	365	202	170	5	5	5
10000	370	369	189	187	5	5	4
10100	375	375	201	170	5	5	6
10200	379	379	205	175	5	4	4
10300	384	384	204	174	5	5	5
10400	389	390	217	157	5	5	6
10500	394	394	205	174	5	5	4
10600	399	399	205	173	5	5	5
10700	404	404	205	173	5	5	5
10800	409	409	205	173	5	5	5
10900	414	414	205	173	5	5	5
11000	420	419	188	186	5	6	5
11100	424	424	205	174	5	4	5
11200	429	430	217	157	5	5	6
11300	434	434	205	174	5	5	4
11400	440	440	201	169	5	6	6
11500	445	444	189	187	5	5	4
11600	450	450	201	170	5	5	6
11700	455	455	201	171	5	5	5
11800	460	460	201	171	5	5	5
11900	465	464	188	188	5	5	4
12000	470	469	187	188	5	5	5
12100	474	474	203	176	5	4	5
12200	479	479	202	176	5	5	5
12300	484	484	202	176	5	5	5
12400	489	489	202	176	5	5	5
12500	494	494	202	176	5	5	5
12600	499	498	189	193	5	5	4
12700	504	504	201	176	5	5	6
12800	509	508	188	194	5	5	4
12900	514	514	197	177	5	5	6
13000	519	518	182	185	5	5	4
13100	524	524	167	167	5	5	6
13200	529	529	152	152	5	5	5
13300	534	534	137	137	5	5	5
13400	538	538	125	125	5	4	4
13500	541	542	116	113	5	3	4
13600	544	546	107	101	5	3	4
13700	547	548	98	0	5	3	2
13800	549	550	0	0	5	2	2
13900	550	551	0	0	5	1	1
14000	550	551	0	0	5	0	0
14100	550	551	0	0	5	0	0
14200	550	551	0	0	5	0	0
14300	550	551	0	0	5	0	0
14400	550	551	0	0	5	0	0
14500	550	551	0	0	5	0	0
14600	550	551	0	0	5	0	0
14700	550	551	0	0	5	0	0
14800	550	551	0	0	5	0	0
14900	550	551	0	0	5	0	0
15000	550	551	0	0	5	0	0
15100	550	551	0	0	5	0	0
15200	550	551	0	0	5	0	0
15300	550	551	0	0	5	0	0
15400	550	551	0	0	5	0	0
15500	550	551	0	0	5	0	0
15600	550	551	0	0	5	0	0
15700	550	551	0	0	5	0	0
15800	550	551	0	0	5	0	0
15900	550	551	0	0	5	0	0
16000	550	551	0	0	5	0	0
16100	550	551	0	0	5	0	0
16200	550	551	0	0	4	0	0
16300	550	551	0	0	4	0	0
16400	550	551	0	0	5	0	0
16500	550	551	0	0	5	0	0
16600	550	551	0	0	5	0	0
16700	550	551	0	0	5	0	0
