Data recieved from Arduino

Measurement number: 1
	Value1
0	1016
168	1017
352	1017
536	1017
720	1016
904	1017
1096	1017
1280	1018
1464	1017
1648	1020
1832	1017
2024	1018
2208	1020
2392	1018
2576	1018
2760	1020
2992	1020
3496	1020
4016	1019
4520	1019
5032	1019
5536	1019
6056	1016
6560	1016
7072	1017
7576	1016
8096	1016
8600	1016
9104	1017
9616	1016
10128	1017
10640	1017
11144	1018
11656	1019
12168	1019
12680	1020
13184	1019
13696	1019
14208	1020
14720	1019
15224	1019
15736	1017
16248	1018
16760	1018
17264	1017
17776	1015
18288	1015
18800	1016
19304	1016
19816	1016
20328	1016
20840	1017
21344	1017
21856	1018
22368	1019
22880	1020
23384	1020
23896	1019
24408	1019
24920	1018
25424	1018
25936	1019
26448	1017
26960	1017
27464	1016
27976	1016
28488	1016
29000	1016
29504	1016
30016	1017
30528	1017
31040	1019
31544	1018
32056	1020
32568	1019
33080	1020
33584	1019
34096	1019
34608	1020
35120	1019
35624	1018
36136	1019
36648	1017
37160	1017
37664	1016
38176	1016
38688	1015
39200	1016
39704	1015
40216	1016
40728	1017
41240	1017
41744	1017
42256	1019
42768	1019
43280	1019
43784	1021
44296	1018
44808	1019
45320	1018
45824	1018
46336	1017
46848	1016
47360	1017
47864	1016
48376	1015
48888	1015
49400	1017
49904	1016
50416	1016
50928	1016
51440	1018
51944	1020
52456	1019
52968	1021
53480	1020
53984	1020
54496	1020
55008	1020
55520	1019
56024	1017
56536	1017
57048	1019
57560	1017
58064	1016
58576	1016
59088	1015
59600	1016
60104	1016
60616	1017
61128	1018
61640	1018
62144	1019
62656	1018
63168	1021
63680	1018
64184	1019
64696	1019
65208	1019
65720	1019
66224	1018
66736	1017
67248	1018
67760	1017
68264	1016
68776	1016
69288	1017
69800	1016
70304	1016
70816	1016
71328	1019
71840	1018
72344	1020
72856	1020
73368	1021
73880	1021
74384	1021
74896	1019
75408	1018
75920	1019
76424	1017
76936	1018
77448	1016
77960	1016
78464	1016
78976	1016
79488	1015
80000	1017
80504	1016
81016	1016
81528	1018
82040	1019
82544	1019
83056	1020
83568	1021
84080	1018
84584	1021
85096	1018
85608	1020
86120	1018
86624	1018
87136	1016
87648	1016
88160	1016
88664	1016
89176	1016
89688	1016
90200	1017
90704	1017
91216	1018
91728	1019
